scientificName,canonicalName,authorship,family,epithet,description
"Temnocyon josephi (Cope, 1881)",Temnocyon josephi,"(Cope, 1881) ",Canidae,josephi,a dog named after Joseph
"Temnocyon wallovianus (Cope, 1881)",Temnocyon wallovianus,"(Cope, 1881) ",Canidae,wallovianus,a dog named after Wallovi
"Canis temerarius (Leidy, 1858)",Canis temerarius,"(Leidy, 1858) ",Canidae,temerarius,a dog that resembles rash or reckless
"Cynodesmus euthos (McGrew, 1935)",Cynodesmus euthos,"(McGrew, 1935) ",Canidae,euthos,a dog that resembles straight or upright
"Philotrox condoni Merriam, 1906",Philotrox condoni,"Merriam, 1906",Canidae,condoni,a dog named after Condon
"Aletocyon multicuspus (Romer & Sutton, 1927)",Aletocyon multicuspus,"(Romer & Sutton, 1927) ",Canidae,multicuspus,a many-pointed dog
"Cynodesmus minor (Matthew, 1907)",Cynodesmus minor,"(Matthew, 1907) ",Canidae,minor,a dog that resembles smaller or lesser
"Galecynus latidens (Cope, 1881)",Galecynus latidens,"(Cope, 1881) ",Canidae,latidens,a broad-toothed dog
"Nothocyon annectens (Peterson, 1907)",Nothocyon annectens,"(Peterson, 1907) ",Canidae,annectens,a dog that resembles connecting or linking
"Phlaocyon leucosteus Matthew, 1899",Phlaocyon leucosteus,"Matthew, 1899",Canidae,leucosteus,a white-boned dog
"Phlaocyon mariae Wang et al., 1999",Phlaocyon mariae,"Wang et al., 1999",Canidae,mariae,a dog named after Maria
"Phlaocyon marslandensis McGrew, 1941",Phlaocyon marslandensis,"McGrew, 1941",Canidae,marslandensis,a dog from Marsland
"Phlaocyon taylori Hayes, 2000",Phlaocyon taylori,"Hayes, 2000",Canidae,taylori,a dog named after Taylor
"Phlaocyon yatkolai Wang et al., 1999",Phlaocyon yatkolai,"Wang et al., 1999",Canidae,yatkolai,a dog from the Yatkola people
"Procynodictis vulpiceps Wortman & Matthew, 1899",Procynodictis vulpiceps,"Wortman & Matthew, 1899",Canidae,vulpiceps,a fox-headed dog
"Viverravus progressus (Stock, 1935)",Viverravus progressus,"(Stock, 1935) ",Canidae,progressus,a dog that resembles advancing or developing
"Hesperocyon wilsoni (Gustafson, 1986)",Hesperocyon wilsoni,"(Gustafson, 1986) ",Canidae,wilsoni,a dog named after Wilson
"Protepicyon raki Wang et al., 1999",Protepicyon raki,"Wang et al., 1999",Canidae,raki,a dog from New Zealand
"Protocyon orcesi Hoffstetter, 1952",Protocyon orcesi,"Hoffstetter, 1952",Canidae,orcesi,a dog named after Orces
"Protocyon orocualensis Ruiz-Ramoni et al., 2022",Protocyon orocualensis,"Ruiz-Ramoni et al., 2022",Canidae,orocualensis,a dog from Cerro El Oro
"Protocyon scagliarum Kraglievich, 1952",Protocyon scagliarum,"Kraglievich, 1952",Canidae,scagliarum,a dog that resembles of the marble slabs
"Protocyon tarijensis Ameghino, 1902",Protocyon tarijensis,"Ameghino, 1902",Canidae,tarijensis,a dog from Tarija
"Protocyon troglodytes (Lund, 1938)",Protocyon troglodytes,"(Lund, 1938) ",Canidae,troglodytes,a dog that resembles cave-dwelling
"Tomarctus optatus (Matthew, 1924)",Tomarctus optatus,"(Matthew, 1924) ",Canidae,optatus,"a wished-for, desired dog"
"Prototocyon recki Pohle, 1928",Prototocyon recki,"Pohle, 1928",Canidae,recki,a dog named after Reck
"Psalidocyon marianae Wang et al., 1999",Psalidocyon marianae,"Wang et al., 1999",Canidae,marianae,a dog named after Maria or Mary
"Cynodictis oregonensis (Merriam, 1906)",Cynodictis oregonensis,"(Merriam, 1906) ",Canidae,oregonensis,a dog from Oregon
Speothos pacivorus Lund,Speothos pacivorus,Lund,Canidae,pacivorus,a dog that resembles peace-eating
"Speothos venaticus (Lund, 1842)",Speothos venaticus,"(Lund, 1842) ",Canidae,venaticus,a dog that resembles hunting or pertaining to hunting
"Mesocyon geringensis (Barbour & Schultz, 1935)",Mesocyon geringensis,"(Barbour & Schultz, 1935) ",Canidae,geringensis,a dog from Gering
"Synagodus mansuetus Cope, 1879",Synagodus mansuetus,"Cope, 1879",Canidae,mansuetus,a tame or domesticated dog
"Theriodictis floridanus Tedford et al., 2009",Theriodictis floridanus,"Tedford et al., 2009",Canidae,floridanus,a dog from Florida
"Theriodictis platensis Mercerat, 1891",Theriodictis platensis,"Mercerat, 1891",Canidae,platensis,a dog from the Río de la Plata
"Theriodictis tarijensis Ameghino, 1902",Theriodictis tarijensis,"Ameghino, 1902",Canidae,tarijensis,a dog from Tarija
"Canis rurestris (Condon, 1896)",Canis rurestris,"(Condon, 1896) ",Canidae,rurestris,a dog that resembles of the countryside
"Tephrocyon hippophagus (Matthew & Cook, 1909)",Tephrocyon hippophagus,"(Matthew & Cook, 1909) ",Canidae,hippophagus,a dog that resembles horse-eating
"Tomarctus brevirostris Cope, 1873",Tomarctus brevirostris,"Cope, 1873",Canidae,brevirostris,a short-billed dog
"Urocyon cinereoargenteus (Schreber, 1775)",Urocyon cinereoargenteus,"(Schreber, 1775) ",Canidae,cinereoargenteus,a ashy silver-colored dog
"Urocyon citrinus Tedford et al., 2009",Urocyon citrinus,"Tedford et al., 2009",Canidae,citrinus,a yellow or lemon-colored dog
"Urocyon galushai Tedford et al., 2009",Urocyon galushai,"Tedford et al., 2009",Canidae,galushai,a dog named after Galusha
"Urocyon littoralis (Baird, 1858)",Urocyon littoralis,"(Baird, 1858) ",Canidae,littoralis,a dog that resembles of the shore
"Urocyon minicephalus Martin, 1974",Urocyon minicephalus,"Martin, 1974",Canidae,minicephalus,a small-headed dog
"Urocyon progressus Stevens, 1965",Urocyon progressus,"Stevens, 1965",Canidae,progressus,a dog that resembles advancing or developing
"Urocyon seminolensis Simpson, 1929",Urocyon seminolensis,"Simpson, 1929",Canidae,seminolensis,a dog from Florida
"Urocyon webbi Tedford et al., 2009",Urocyon webbi,"Tedford et al., 2009",Canidae,webbi,a dog named after Webb
"Alopex praeglacialis Kaup, 1829",Alopex praeglacialis,"Kaup, 1829",Canidae,praeglacialis,a dog that resembles before the ice age
"Fennecus arabicus Desmarest, 1804",Fennecus arabicus,"Desmarest, 1804",Canidae,arabicus,a dog from Arabia
"Vulpes alopecoides Forsyth Major, 1877",Vulpes alopecoides,"Forsyth Major, 1877",Canidae,alopecoides,a fox-like dog
"Vulpes angustidens Thenius, 1954",Vulpes angustidens,"Thenius, 1954",Canidae,angustidens,a narrow-toothed dog
"Vulpes beihaiensis Qiu & Tedford, 1990",Vulpes beihaiensis,"Qiu & Tedford, 1990",Canidae,beihaiensis,a dog from Beihai
"Vulpes bengalensis (Shaw, 1800)",Vulpes bengalensis,"(Shaw, 1800) ",Canidae,bengalensis,a dog from Bengal
"Vulpes cana Blanford, 1877",Vulpes cana,"Blanford, 1877",Canidae,cana,a dog that resembles grey or hoary
"Vulpes chama (A.Smith, 1833)",Vulpes chama,"(A.Smith, 1833) ",Canidae,chama,a dog that resembles low-growing
"Vulpes chikushanensis Young, 1930",Vulpes chikushanensis,"Young, 1930",Canidae,chikushanensis,a dog from Chikushan
"Vulpes corsac (Linnaeus, 1768)",Vulpes corsac,"(Linnaeus, 1768) ",Canidae,corsac,a dog that resembles of the steppe
"Vulpes ferilata Frisch, 1775",Vulpes ferilata,"Frisch, 1775",Canidae,ferilata,a dog that resembles bearing broad stripes
"Vulpes ferrilata Hodgson, 1842",Vulpes ferrilata,"Hodgson, 1842",Canidae,ferrilata,a iron-edged dog
"Vulpes flavescens Gray, 1843",Vulpes flavescens,"Gray, 1843",Canidae,flavescens,a dog that resembles yellowish
"Vulpes galaticus Ginsburg, 1998",Vulpes galaticus,"Ginsburg, 1998",Canidae,galaticus,a dog that resembles of or from the Milky Way
"Vulpes hassani Geraads, 2011",Vulpes hassani,"Geraads, 2011",Canidae,hassani,a dog named after Hassan
"Vulpes ichnusae Miller, 1907",Vulpes ichnusae,"Miller, 1907",Canidae,ichnusae,a dog from Sardinia
"Vulpes indutus Miller, 1907",Vulpes indutus,"Miller, 1907",Canidae,indutus,a clothed or covered dog
"Vulpes kernensis Tedford et al., 2009",Vulpes kernensis,"Tedford et al., 2009",Canidae,kernensis,a dog from Kern County
"Vulpes lagopus (Linnaeus, 1758)",Vulpes lagopus,"(Linnaeus, 1758) ",Canidae,lagopus,a hare-footed dog
"Vulpes macrotis Merriam, 1888",Vulpes macrotis,"Merriam, 1888",Canidae,macrotis,a large-eared dog
"Vulpes mathisoni Geraads, Drapeau, Bobe & Fleagle, 2013",Vulpes mathisoni,"Geraads, Drapeau, Bobe & Fleagle, 2013",Canidae,mathisoni,a dog named after Mathison
"Vulpes minimus Skjöldebrand, 1777",Vulpes minimus,"Skjöldebrand, 1777",Canidae,minimus,a dog that resembles smallest
"Vulpes pallida (Cretzschmar, 1826)",Vulpes pallida,"(Cretzschmar, 1826) ",Canidae,pallida,a pale or light-colored dog
"Vulpes praecorsac Kormos, 1932",Vulpes praecorsac,"Kormos, 1932",Canidae,praecorsac,a short-billed dog
"Vulpes praeglacialis (Kormos, 1932)",Vulpes praeglacialis,"(Kormos, 1932) ",Canidae,praeglacialis,a dog that resembles before the ice age
"Vulpes qiuzhudingi Wang, Tseng, Li, Takeuchi & Xie, 2014",Vulpes qiuzhudingi,"Wang, Tseng, Li, Takeuchi & Xie, 2014",Canidae,qiuzhudingi,a dog named after Qi Zhuding
"Vulpes riffautae Bonis et al., 2007",Vulpes riffautae,"Bonis et al., 2007",Canidae,riffautae,a dog named after Riffaut
"Vulpes rooki Bartolini Lucenti, 2021",Vulpes rooki,"Bartolini Lucenti, 2021",Canidae,rooki,a dog named after Rook
"Vulpes rueppellii (Schinz, 1825)",Vulpes rueppellii,"(Schinz, 1825) ",Canidae,rueppellii,a dog named after Rüppell
"Vulpes stenognathus Savage, 1941",Vulpes stenognathus,"Savage, 1941",Canidae,stenognathus,a narrow-jawed dog
"Vulpes velox (Say, 1823)",Vulpes velox,"(Say, 1823) ",Canidae,velox,a dog that resembles fast-moving
"Vulpes vulgaris Oken, 1816",Vulpes vulgaris,"Oken, 1816",Canidae,vulgaris,a dog that resembles common or widespread
"Vulpes vulpes (Linnaeus, 1758)",Vulpes vulpes,"(Linnaeus, 1758) ",Canidae,vulpes,a dog that resembles of the fox
"Vulpes zerda (Zimmermann, 1780)",Vulpes zerda,"(Zimmermann, 1780) ",Canidae,zerda,a dog that resembles small desert fox
"Canis texanus (Troxell, 1915)",Canis texanus,"(Troxell, 1915) ",Canidae,texanus,a dog from Texas
"Xenocyon dubius Teilhard de Chardin, 1940",Xenocyon dubius,"Teilhard de Chardin, 1940",Canidae,dubius,a dog that resembles doubtful or uncertain identity
"Xenocyon lycaonoides Kretzoï, 1938",Xenocyon lycaonoides,"Kretzoï, 1938",Canidae,lycaonoides,a dog that resembles resembling a wolf
"Acinonyx aicha Geraads, 1997",Acinonyx aicha,"Geraads, 1997",Felidae,aicha,a cat from the earth
Acinonyx guttatus,Acinonyx guttatus,,Felidae,guttatus,a spotted or speckled cat
"Acinonyx hecki Hilzheimer, 1913",Acinonyx hecki,"Hilzheimer, 1913",Felidae,hecki,a cat named after Heck
"Acinonyx jubatus (Schreber, 1775)",Acinonyx jubatus,"(Schreber, 1775) ",Felidae,jubatus,a crested or maned cat
"Acinonyx pardinensis Croizet & Joubert, 1928",Acinonyx pardinensis,"Croizet & Joubert, 1928",Felidae,pardinensis,a cat from the Pardine region
"Acinonyx raddei Hilzheimer, 1913",Acinonyx raddei,"Hilzheimer, 1913",Felidae,raddei,a cat named after Radde
"Acinonyx venator Brookes, 1828",Acinonyx venator,"Brookes, 1828",Felidae,venator,a cat that resembles hunter
"Adelphailurus kansensis Hibbard, 1934",Adelphailurus kansensis,"Hibbard, 1934",Felidae,kansensis,a cat from Kansas
"Amphimachairodus alvarezi Ruiz-Ramoni, Rincón & Montellano-Ballesteros, 2019",Amphimachairodus alvarezi,"Ruiz-Ramoni, Rincón & Montellano-Ballesteros, 2019",Felidae,alvarezi,a cat named after Alvarez
"Amphimachairodus giganteus Kretzoi, 1929",Amphimachairodus giganteus,"Kretzoi, 1929",Felidae,giganteus,a cat that resembles very large
"Amphimachairodus hezhengensis Jiangzuo, Werdelin, Sanisidro, Yang, Fu, Li, Wang & Deng, 2023",Amphimachairodus hezhengensis,"Jiangzuo, Werdelin, Sanisidro, Yang, Fu, Li, Wang & Deng, 2023",Felidae,hezhengensis,a cat from Hezheng
"Amphimachairodus horribilis Schlosser, 1903",Amphimachairodus horribilis,"Schlosser, 1903",Felidae,horribilis,"a cat that resembles frightful, terrible"
"Machairodus coloradensis (Cook, 1922)",Machairodus coloradensis,"(Cook, 1922) ",Felidae,coloradensis,a cat from Colorado
"Archaelurus debilis (Cope, 1879)",Archaelurus debilis,"(Cope, 1879) ",Felidae,debilis,a cat that resembles weak or feeble
"Caracal caracal (Schreber, 1776)",Caracal caracal,"(Schreber, 1776) ",Felidae,caracal,a cat that resembles black-tipped ears
"Caracal melanotis Gray, 1843",Caracal melanotis,"Gray, 1843",Felidae,melanotis,a black-eared cat
"Catopuma badia (Gray, 1874)",Catopuma badia,"(Gray, 1874) ",Felidae,badia,a chestnut-colored cat
"Catopuma temminckii (Vigors & Horsfield, 1827)",Catopuma temminckii,"(Vigors & Horsfield, 1827) ",Felidae,temminckii,a cat named after Coenraad Temminck
"Diamantofelis ferox Morales et al., 1998",Diamantofelis ferox,"Morales et al., 1998",Felidae,ferox,a cat that resembles fierce or ferocious
"Diamantofelis minor (Morales et al., 1998)",Diamantofelis minor,"(Morales et al., 1998) ",Felidae,minor,a cat that resembles smaller or lesser
"Dinofelis abeli Zdansky, 1924",Dinofelis abeli,"Zdansky, 1924",Felidae,abeli,a cat named after Abel
"Panthera palaeoonca (Meade, 1945)",Panthera palaeoonca,"(Meade, 1945) ",Felidae,palaeoonca,a cat that resembles ancient jaguar
"Machaerodus niobrarensis Thorpe, 1922",Machaerodus niobrarensis,"Thorpe, 1922",Felidae,niobrarensis,a cat from the Niobrara region
"Felis antediluviana Kaup, 1833",Felis antediluviana,"Kaup, 1833",Felidae,antediluviana,a cat that resembles before the flood
"Felis aphanista Kaup, 1833",Felis aphanista,"Kaup, 1833",Felidae,aphanista,a cat that resembles hidden or obscure
"Felis arundivaza Hollister, 1911",Felis arundivaza,"Hollister, 1911",Felidae,arundivaza,a cat that resembles growing on reeds
"Felis atrox Leidy, 1853",Felis atrox,"Leidy, 1853",Felidae,atrox,a cat that resembles fierce or savage
"Felis attica Wagner, 1857",Felis attica,"Wagner, 1857",Felidae,attica,a cat from Attica
"Felis bieti Milne-Edwards, 1892",Felis bieti,"Milne-Edwards, 1892",Felidae,bieti,a cat named after Biet
"Felis borealis Thunberg, 1798",Felis borealis,"Thunberg, 1798",Felidae,borealis,a cat that resembles northern
"Felis cafra Desmarest, 1822",Felis cafra,"Desmarest, 1822",Felidae,cafra,a cat that resembles of or from southern Africa
"Felis catus Linnaeus, 1758",Felis catus,"Linnaeus, 1758",Felidae,catus,a cat that resembles domesticated or tame
"Felis chaus Guldenstaedt, 1776",Felis chaus,"Guldenstaedt, 1776",Felidae,chaus,a cat that resembles of the chausar
"Felis chaus Schreber, 1777",Felis chaus,"Schreber, 1777",Felidae,chaus,a cat that resembles of the chausar
"Felis crassidens Broom, 1948",Felis crassidens,"Broom, 1948",Felidae,crassidens,a thick-toothed cat
"Felis fearonii Smith, 1834",Felis fearonii,"Smith, 1834",Felidae,fearonii,a cat named after Fearon
"Felis fontanierii Milne-Edwards, 1867",Felis fontanierii,"Milne-Edwards, 1867",Felidae,fontanierii,a cat named after Fontanier
"Felis gombaszoegensis Kretzoi, 1938",Felis gombaszoegensis,"Kretzoi, 1938",Felidae,gombaszoegensis,a cat from Gombaszög
"Felis grampia Miller, 1907",Felis grampia,"Miller, 1907",Felidae,grampia,a cat from the Grampian Mountains
"Felis guttata Hermann, 1804",Felis guttata,"Hermann, 1804",Felidae,guttata,a spotted or speckled cat
"Felis haussa Thomas & Hinton, 1921",Felis haussa,"Thomas & Hinton, 1921",Felidae,haussa,a cat from Hausa people or region
"Felis ingrami Bonhote, 1903",Felis ingrami,"Bonhote, 1903",Felidae,ingrami,a cat named after Ingram
"Felis irionwtensis Imaizumi, 1967",Felis irionwtensis,"Imaizumi, 1967",Felidae,irionwtensis,a cat from Irionwote
"Felis jaguar Link, 1795",Felis jaguar,"Link, 1795",Felidae,jaguar,a cat that resembles resembling a jaguar
"Felis lanea Sclater, 1877",Felis lanea,"Sclater, 1877",Felidae,lanea,a woolly or wool-covered cat
"Felis leopardus Schreber, 1775",Felis leopardus,"Schreber, 1775",Felidae,leopardus,a cat that resembles spotted like a leopard
"Felis longicaudata Valenciennes, 1856",Felis longicaudata,"Valenciennes, 1856",Felidae,longicaudata,a long-tailed cat
"Felis lunensis Martelli, 1906",Felis lunensis,"Martelli, 1906",Felidae,lunensis,a cat from Lun
"Felis manul Pallas, 1776",Felis manul,"Pallas, 1776",Felidae,manul,a flat-eared cat
"Felis margarita Loche, 1858",Felis margarita,"Loche, 1858",Felidae,margarita,a pearl-like cat
"Felis maxima Scott & Osborn, 1890",Felis maxima,"Scott & Osborn, 1890",Felidae,maxima,a cat that resembles largest or very large
"Felis megabalica Heuglin, 1863",Felis megabalica,"Heuglin, 1863",Felidae,megabalica,a cat that resembles very large
"Felis neglecta Gray, 1838",Felis neglecta,"Gray, 1838",Felidae,neglecta,a overlooked or neglected cat
"Felis nigra Erxleben, 1777",Felis nigra,"Erxleben, 1777",Felidae,nigra,a cat that resembles black
"Felis nigripectus Hodgson, 1842",Felis nigripectus,"Hodgson, 1842",Felidae,nigripectus,a black-breasted cat
"Felis nigripes Burchell, 1824",Felis nigripes,"Burchell, 1824",Felidae,nigripes,a black-footed cat
"Felis obscura Hendey, 1974",Felis obscura,"Hendey, 1974",Felidae,obscura,a cat that resembles dark or indistinct
"Felis ocreata Gmelin, 1791",Felis ocreata,"Gmelin, 1791",Felidae,ocreata,a cat that resembles with boot-like sheaths
"Felis palaeopardus Gray, 1867",Felis palaeopardus,"Gray, 1867",Felidae,palaeopardus,a cat that resembles ancient leopard
"Felis panthera Schreber, 1775",Felis panthera,"Schreber, 1775",Felidae,panthera,a cat that resembles of the panther
"Felis pardoides Owen, 1846",Felis pardoides,"Owen, 1846",Felidae,pardoides,a leopard-like cat
"Felis platensis Ameghino, 1889",Felis platensis,"Ameghino, 1889",Felidae,platensis,a cat from the Río de la Plata
"Felis poecilura Valenciennes, 1856",Felis poecilura,"Valenciennes, 1856",Felidae,poecilura,a cat that resembles many-colored tail
"Felis prisca Kaup, 1833",Felis prisca,"Kaup, 1833",Felidae,prisca,a cat that resembles ancient
"Felis propampina Kraglievich, 1934",Felis propampina,"Kraglievich, 1934",Felidae,propampina,a cat that resembles spreading by runners
"Felis proplatensis Ameghino, 1904",Felis proplatensis,"Ameghino, 1904",Felidae,proplatensis,a cat from the La Plata region
"Felis propuma Ameghino, 1904",Felis propuma,"Ameghino, 1904",Felidae,propuma,a cat that resembles first fruit
"Felis pumoides Castellanos, 1958",Felis pumoides,"Castellanos, 1958",Felidae,pumoides,a dwarf-like cat
"Felis rexroadensis (Stephens, 1959)",Felis rexroadensis,"(Stephens, 1959) ",Felidae,rexroadensis,a cat from Rexroad
"Felis servalina Ogilby, 1839",Felis servalina,"Ogilby, 1839",Felidae,servalina,a cat that resembles resembling a serval
"Felis silvestris Schreber, 1777",Felis silvestris,"Schreber, 1777",Felidae,silvestris,a cat that resembles of the woods
"Felis spec Linnaeus, 1758",Felis spec,"Linnæus, 1758",Felidae,spec,a cat that resembles of a particular species
"Felis studeri (Savage, 1960)",Felis studeri,"(Savage, 1960) ",Felidae,studeri,a cat named after Studer
"Felis sucuacuara Liais, 1872",Felis sucuacuara,"Liais, 1872",Felidae,sucuacuara,a cat that resembles unknown meaning
"Felis tartessia Miller, 1907",Felis tartessia,"Miller, 1907",Felidae,tartessia,a cat from Tartessos
"Felis tenasserimensis Gray, 1867",Felis tenasserimensis,"Gray, 1867",Felidae,tenasserimensis,a cat from the Tenasserim region
